volunteer_id,year,college_code,college_name,major_name,history_college_name,history_major_name,history_lowest_score,history_lowest_rank,history_source_page,match_level
3112-013,2025,3112,上海大学(“双一流”建设高校),电子信息工程(卓越工程师班),上海大学,电子信息工程,650,11089.0,118,base
3125-017,2023,3125,上海海事大学,机械电子工程,上海海事大学,机械电子工程(中外合作办学),599,53608.0,115,base
3125-019,2023,3125,上海海事大学,自动化,上海海事大学,机械设计制造及其自动化,623,30896.0,115,contains_unique
3130-510,2024,3130,上海建桥学院,商务日语,上海建桥学院( 民办学校),商务日语(中日学分互认),498,171729.0,120,base
3135-523,2023,3135,上海科学技术职业学院,工业机器人技术(高本贯通),上海科学技术职业学院,工业机器人技术,462,199525.0,117,base
3135-523,2024,3135,上海科学技术职业学院,工业机器人技术(高本贯通),上海科学技术职业学院,工业机器人技术,451,215447.0,120,base
3135-524,2023,3135,上海科学技术职业学院,物联网应用技术(高本贯通),上海科学技术职业学院,物联网应用技术,471,191758.0,117,base
3135-524,2024,3135,上海科学技术职业学院,物联网应用技术(高本贯通),上海科学技术职业学院,物联网应用技术,464,205095.0,120,base
3135-524,2025,3135,上海科学技术职业学院,物联网应用技术(高本贯通),上海科学技术职业学院,物联网应用技术,463,210610.0,123,base
3143-501,2023,3143,上海杉达学院,机电一体化技术(高本贯通),上海杉达学院( 民办学校),机电一体化技术,423,229713.0,119,base
3145-021,2025,3145,上海师范大学,物理学(师范),上海师范大学,物理学(物理电子学),598,53824.0,125,base
3146-001,2025,3146,上海师范大学天华学院,电子信息工程(双语教学),上海师范大学天华学院( 独立学院),电子信息工程,483,191713.0,126,base
3146-002,2025,3146,上海师范大学天华学院,网络工程(双语教学),上海师范大学天华学院( 独立学院),网络工程,480,194038.0,126,base
3146-003,2024,3146,上海师范大学天华学院,人工智能,上海师范大学天华学院( 独立学院),人工智能(双语教学),467,201939.0,123,base
3146-005,2023,3146,上海师范大学天华学院,应用心理学(中外合作办学),上海师范大学天华学院( 独立学院),应用心理学(双语教学),527,132430.0,120,base
3146-005,2024,3146,上海师范大学天华学院,应用心理学(中外合作办学),上海师范大学天华学院( 独立学院),应用心理学(双语教学),540,122192.0,123,base
